"","ModelNumber","modelName","variable","effect","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC"
"113",26,"Magnitude vs magnitude MAT Savanna","climdif","fixed",2.11535897338431,-1.86314130206301,5.57615003109095,3400,0.261764705882353
"114",26,"Magnitude vs magnitude MAT Savanna","(Intercept):(Intercept).Site.ID.x","random",13.4078762769345,4.53168536989593e-05,31.4000918232243,2530.16061821477,NA
"115",26,"Magnitude vs magnitude MAT Savanna","climdif:(Intercept).Site.ID.x","random",-1.76783797729358,-18.7626373203711,11.2954236437002,2641.80564791817,NA
"116",26,"Magnitude vs magnitude MAT Savanna","(Intercept):climdif.Site.ID.x","random",-1.76783797729358,-18.7626373203711,11.2954236437002,2641.80564791817,NA
"117",26,"Magnitude vs magnitude MAT Savanna","climdif:climdif.Site.ID.x","random",22.8581290701186,3.65930675932089e-06,81.8589630860648,2937.11397057923,NA
"118",26,"Magnitude vs magnitude MAT Savanna","units","residual",35.9297177160202,17.6414351971644,52.6705562090716,2467.01806519606,NA
"119",27,"Magnitude vs magnitude MAP Tundra","(Intercept)","fixed",1.12016992203951,-0.772764775778342,3.22853104760361,3324.79134661604,0.258235294117647
"120",27,"Magnitude vs magnitude MAP Tundra","climdif","fixed",0.0963255755867645,-0.0421872019069269,0.240339780444629,3399.99999999999,0.167058823529412
"121",27,"Magnitude vs magnitude MAP Tundra","(Intercept):(Intercept).Site.ID.x","random",6.26015957141099,7.11865521575566e-08,16.6750582547912,3400,NA
"122",27,"Magnitude vs magnitude MAP Tundra","climdif:(Intercept).Site.ID.x","random",-0.0860452590839103,-0.540152606736572,0.174515977716681,3400,NA
"123",27,"Magnitude vs magnitude MAP Tundra","(Intercept):climdif.Site.ID.x","random",-0.0860452590839103,-0.540152606736572,0.174515977716681,3400,NA
"124",27,"Magnitude vs magnitude MAP Tundra","climdif:climdif.Site.ID.x","random",0.0121437377397309,5.01011258377548e-09,0.0461100450728967,3400,NA
"125",27,"Magnitude vs magnitude MAP Tundra","units","residual",17.9750287565664,12.0209595852652,24.9763454777625,3400.00000000001,NA
"126",28,"Magnitude vs magnitude MAP Savanna","(Intercept)","fixed",-0.213495138079923,-2.10055884003668,1.67259327016654,2322.53806308447,0.825882352941177
"127",28,"Magnitude vs magnitude MAP Savanna","climdif","fixed",0.155963280383276,0.0399120063375449,0.271167515093111,1762.62111921985,0.00117647058823533
"128",28,"Magnitude vs magnitude MAP Savanna","(Intercept):(Intercept).Site.ID.x","random",33.6566072248093,1.40939365518817e-06,65.1124594133841,914.44366719689,NA
"129",28,"Magnitude vs magnitude MAP Savanna","climdif:(Intercept).Site.ID.x","random",-0.367342174021866,-1.91344263071412,0.288844461681835,1111.38202632547,NA
"130",28,"Magnitude vs magnitude MAP Savanna","(Intercept):climdif.Site.ID.x","random",-0.367342174021866,-1.91344263071412,0.288844461681835,1111.38202632547,NA
"131",28,"Magnitude vs magnitude MAP Savanna","climdif:climdif.Site.ID.x","random",0.0245399868521985,3.28467291887398e-09,0.122639358901698,1050.07558387923,NA
"132",28,"Magnitude vs magnitude MAP Savanna","units","residual",23.5186838197714,1.309600356522,52.3036713592788,743.219945236031,NA
"133",29,"Precip x MAT change Tundra","(Intercept)","fixed",0.553715990800417,0.349720369005809,0.786142780867522,3400.00000000001,0.000294117647058824
"134",29,"Precip x MAT change Tundra","estimate","fixed",-6.00934445633376,-8.82342397723187,-3.1119021656923,3574.96757290728,0.000294117647058824
"135",29,"Precip x MAT change Tundra","precip","fixed",-0.000371809024679117,-0.000689610271365382,-8.22741130832583e-05,3572.51131190535,0.0170588235294118
"136",29,"Precip x MAT change Tundra","estimate:precip","fixed",0.00724369563260814,0.00067762393882731,0.0135490949032828,3681.76397453565,0.0247058823529411
"137",29,"Precip x MAT change Tundra","(Intercept):(Intercept).geo.coords","random",0.0509481032512976,0.00392860665735094,0.112014098482838,3400,NA
